,abstract,doi,journal,keywords,scopus_id,title,year
10,"© 2020 Elsevier Ltd The closed-loop supply chain management (CLSCM) is an attractive research field for the corporate and academic worlds; however, closing the loop is not a simple task. Reverse logistics activities increase management complexities and uncertainties by establishing multi-fold collection and return management processes. Unlike traditional supply chain management, where managers deal with only stochastic demand, in closed-loop supply chain management, they deal with both stochastic demand and returns, which increases the cumulative uncertainty in the system. Firms usually use disposable packaging, and demand uncertainties also increase the negative environmental implications of logistics activities. This study aims to investigate optimal remanufacturing strategy and reusable packaging capacity under stochastic demand and return rate for single and multi-retailer closed-loop supply chain models. The results show that a hybrid policy is an optimal option for both single and multi-retailer cases; however, the rate of remanufacturing increases for multiple-retailers. Furthermore, remanufacturing cost, manufacturing cost, and ordering cost of retailers are the principal drivers of hybrid supply chain management. The results further suggest that supply chain managers should reduce manufacturing and remanufacturing costs because they play a central role in deciding the optimal remanufacturing rate. Increasing the remanufacturing rate increases ordering quantities and reduces setup and ordering costs in the system. Thus the remanufacturing is a relatively inexpensive policy for supply chains with higher setup and ordering costs. Numerical examples, sensitivity analysis, and comparative study show the robustness and validity of the proposed model.",10.1016/j.jclepro.2020.125609,Journal of Cleaner Production,Remanufacturing | Returnable transport items | Reverse logistics | Supply chain management | Sustainability,85099336981,Ramification of remanufacturing in a sustainable three-echelon closed-loop supply chain management for returnable products,2021.0
11,"© 2020 John Wiley  &  Sons Ltd. In recent years, blockchain (BC) networks have expanded to a broad spectrum of fields. They have garnered significant attention due to their feature of creating secure private and public networks in a decentralized manner. The traditional FSC fails to meet the customer requirements of quality, safety, reliability, transparency, and traceability. This paper proposes a novel 3-stage methodology using principal component analysis (PCA), total iterative structural modeling (TISM), and Matrice d'Impacts Croisés Multiplication Appliquée à un Classement (MICMAC) analysis to develop an integrated BC with the food supply chain (FSC). The existing literature was surveyed and industry experts' opinion was gathered and various critical success factors (CSF) were identified which are associated with FSC and BC. The data collected from experts were then evaluated for data consistency and dimension reduction through PCA. The dimensionally reduced data set was analyzed by TISM and MICMAC analysis. TISM and MICMAC analysis categorizes the enabler factors according to their hierarchical level and is used to label or distinguish between dependence and driving power. The integrated methodology found nine CSFs, namely, transparent system, fraud detect, inventory management with tracking, scalability, secure system, cost reduction, safe and quality food, customer satisfaction, and government regulations, which are the main drivers for the FSC business. The paper integrates information technology, Blockchain, with operation management, supply chain. The proposed model overcomes the limitation associated with FSC and will motivate the academia and industry to adopt and achieve efficient and effective goals in this field of FSC.",10.1002/dac.4696,International Journal of Communication Systems,blockchain | food supply chain | MICMAC | PCA | TISM,85097271223,Blockchain-based efficient communication for food supply chain industry: Transparency and traceability analysis for sustainable business,2021.0
12,"© 2020 The economic concern, environmental awareness related legislations, and potential recycling benefits are the main motives that have changed the dimension of supply chain network with environmentally effective transportation and efficient scrap collection system. This paper investigates the two echelon supply chain network of the battery manufacturing industry. This deals with an integrated optimization procedure for solving the green transportation problem and inventory problem in the first echelon, and the capacitated multi depot (Distribution center/Collection center) heterogeneous green vehicle routing problem with simultaneous pickup and delivery in the second echelon. The minimization of the green objective function comprising inventory carrying cost, transportation cost and carbon emission cost are considered in this work. The focus of this paper is to formulate the problem in the Mixed Integer Non-Linear Programming model and to solve the four problem instances (P1 – P4) using GAMS 23.5 and Simulated Annealing Algorithm (SAA) with swap neighbourhood solution method. The experimental results show that the integrated approach with SAA provides a better solution than the sequential approach. The robustness test is carried out with four typical problem instances which show that the proposed SAA provides near optimal solutions. The model analysis is demonstrated with different components of the objective function which will help the top management to take appropriate decisions in the context of cost savings. The performance comparison reveals that the proposed SAA (SAA-1) has given better results than the Simulated Annealing Algorithm with insertion method (SAA-2).",10.1016/j.jclepro.2020.125434,Journal of Cleaner Production,Green transportation | Green vehicle routing | Inventory | Multi period | Pickup and delivery | Two-echelon,85098456504,"Integrated optimization of transportation, inventory and vehicle routing with simultaneous pickup and delivery in two-echelon green supply chain network",2021.0
13,"© 2020 Elsevier Ltd Facility location is one of the most important strategic decisions in designing a supply chain network. However, given the interaction of strategic decisions on tactical and operational decisions, it seems necessary to provide models that integrate these decisions. In this study, a mixed-integer non-linear programming model is developed to determine the optimal pricing of products in different sales and distribution channels while integrating location-allocation decisions and inventory control of distribution centers in an uncertain environment. In order to provide a more realistic model, it is assumed that there is a correlation between demands for products, which poses a critical challenge for modeling and pricing. A Memetic algorithm is used to solve the mixed-integer nonlinear programming model. The implementation results of the designed sample problems show the good performance of the proposed algorithm.",10.1016/j.cie.2020.106997,Computers and Industrial Engineering,Correlated demands | Facility location | Fast-moving Consumer Goods | Inventory and distribution management | Pricing | Supply network configuration,85099716924,Fast-moving consumer goods network design with pricing policy in an uncertain environment with correlated demands,2021.0
14,"© 2021 Elsevier B.V. This study carried out a bibliometric analysis to critically review the evolution of the agri-food supply chain (AFSC) research field over the period of 2008–2019. A set of 1236 articles was analyzed from the Web of Science database. Besides using different analytical scientometric tools (topic mapping, co-citation, co-authorship and overlay visualization networks), this study identified frequently-used keywords, new and hot research topics and frequently-studied supply chain management (SCM) practices. Frequently used keywords are food supply chain, food waste, sustainability, food safety, SCM, food industry, and food security. New research themes include contract, blockchain, internet of things, resilience, and short food supply chain, a topic that demands further research especially due to the international COVID-19 pandemic and the need of farmers to be closer to the consumers. Hot research topics, that is, subjects that have been studied in highly cited papers were also identified include life cycle assessment, environmental impact, packaging, water use, food waste prevention, food waste generation, blockchain and carbon footprint. Among SCM practices, this study observed that risk and sustainable SCM are frequently used keywords. Procurement and reverse logistics were observed in fewer studies. SCM, food waste, food quality, GHG emissions and risk management are sustainable SCM practices frequently observed.",10.1016/j.gfs.2021.100517,Global Food Security,Agri-food supply chain | Bibliometric analysis | Co-authorship | Co-citation analysis | Scientometrics | Supply chain management practices,85101194386,Uncovering research streams on agri-food supply chain management: A bibliometric study,2021.0
15,"© 2020, Springer Nature Singapore Pte Ltd. Global warming has produced negative effects in all life aspects around the world. Particularly, in terms of agriculture, the rainfall variability causes lower water availability, having unfavorable yield effects in all the crops. Temperature increases and rainfall reduction have resulting decreases in agricultural production and infertility. These issues, combined with the constant population growth, predict a severe food security problem for the next decades. In recent years, natural disasters are more frequent and dangerous as the result of global warming. Droughts, freezing, and flooding are the problems with the highest impact on the food supply chain, particularly in low-income communities, increasing the lack of access to food and undernourished problems, resulting in human casualties. This paper presents a response analysis of the food supply chain network in 14 municipalities of the state of Michoacán in Mexico; these municipalities are the ones with the lowest human development index values, joined to malnutrition problems. Natural disasters such as freezing, flood, and drought were considered and used to measure their impact on the food network through a mathematic optimization model, obtaining food system behavior to these difficulties. In the addressed case study, as a consequence of natural disasters, the total cost of the food network increases fifteen times to obtain a resilient system. The proposed approach is general, and this can be applied to other cases.",10.1007/s41660-020-00126-7,Process Integration and Optimization for Sustainability,Resilience approach | Sustainable food supply network | Undernourished communities | Water-food nexus,85093970935,Involving Resilience in Synthesizing Food Networks in Low-Income Communities,2021.0
16,"© 2020 Elsevier B.V. The purpose of present study is twofold. Firstly, this introduces a bi-objective closed-loop supply chain (CLSC) network by deliberating on farming of herbs and production plus distribution of associated herbal medicines in manufacturing-chain layer. Reverse-chain layer (RC-layer) recycles used substrates and unused herbs, thus producing biofuels and casing soil. Though majority of well-established CLSC models comprise sole pecuniary objective function, this aims to validates the economic self-reliance of RC-layer. Besides, Governments pay the subsidy to various entities, including the growers to encourage countrywide farming of herbs and the biofuels-plants for the extent of clean fuel produced. Thus, two different partners of same network earn subsidy without analysing trade-off. Secondly, this study develops an emended minmax method based interactive bi-objective optimization algorithm by employing absolute difference function and newly introduced semi-autonomized desired levels in real-life oriented T-environment. In pessimistic business scenario, whereas proposed model turns infeasible in classical interactive fuzzy multi-objective optimization algorithm, proposed algorithm determines corresponding Pareto optimal solution. In optimistic business scenario, optimal net profits to both layers of proposed model are more desirable than respective goals in proposed algorithm. Vulnerability analysis of twelve parameters to proposed model plus twelve subfigures pleads legislators to offer more subsidy to biofuels-plants and slightly lesser to growers; and to enact regulations to intensify the recycling of discarded substrates and herbs, thereby ensuring financial feasibility of RC-layer. Again, reduced subsidy to biofuels-plants and little more subsidy to growers, plus multi-angled modernization of all partners except landfills elevate the profitability of proposed network.",10.1016/j.asoc.2020.106949,Applied Soft Computing,Biofuels | Closed-loop supply chain | Interactive fuzzy minmax multi-objective optimization | Marketing | Production,85097466559,Cost-effective subsidy policy for growers and biofuels-plants in closed-loop supply chain of herbs and herbal medicines: An interactive bi-objective optimization in T-environment,2021.0
17,"© 2021 by the authors. Licensee MDPI, Basel, Switzerland. This article presents a spatial supply network model for estimating and visualizing spatial commodity flows that used data on firm location and employment, an input–output table of inter-industry transactions, and material balance-type equations. Building on earlier work, we proposed a general method for visualizing detailed supply chains across geographic space, applying the prefer-ential attachment rule to gravity equations in the network context; we then provided illustrations for U.S. extractive, manufacturing, and service industries, also highlighting differences in rural–urban interdependencies across these sectors. The resulting visualizations may be helpful for better understanding supply chain geographies, as well as business interconnections and interdependencies, and to anticipate and potentially address vulnerabilities to different types of shocks.",10.3390/su13031512,Sustainability (Switzerland),Geography | Input–output table | Networks | Pandemics | Supply chain locations,85100470259,Visualizing spatial economic supply chains to enhance sustainability and resilience,2021.0
18,"© 2020 Elsevier Ltd As a valuable nut which is rich in minerals and vitamins, the pistachio is now popular with millions of people throughout the world. Since its major producer-exporter countries are limited, paying attention to its supply chain seems quite necessary. The pistachio SC management can play an important role in its more economic development because it involves all the activities related to the product management from supply to the customer delivery. Also, due to the recently changing environmental regulations affecting manufacturing operations, increasing attention is given to developing environmental commitments for the supply chain. The present study has designed a supply chain for the pistachio nut, its by-products, and carbon production. The proposed mathematical model considering a robust possibilistic programming approach to face the uncertainties inherent in this supply chain as regards the supply, products’ price, and demand of the type multi-period MILP. The results of data realizations show that the proposed model is less sensitive to the changes in the uncertain parameters than the exact model. The proposed model's performance has been verified with a real case study in Iran through which a managerial and practical insight is achieved. The research finally compares the proposed RPP with an exact programming model and shows its advantages; in the standard deviation, its performance has been better by about 36.67%.",10.1016/j.jclepro.2020.125212,Journal of Cleaner Production,Green supply chain | Pistachio supply chain | Pistachio-by-products | Robust possibilistic,85097475854,Optimal Design and Operation of the green pistachio supply network: A robust possibilistic programming model,2021.0
19,"© 2020 The use of renewable energies has become very attractive, because it protects the environment and boosts regional development. In this paper, a sustainable two-phase sequential approach is proposed for the design of bioenergy SCs under uncertainties. The first phase, integrating geographical information, social aspects, and multi-criteria decision-making techniques, helps find appropriate locations for the bio-refineries. High rates of unemployment, and high vulnerability to the variation in the markets in an economic crisis are considered as social concerns. Integrating these factors filters the areas for the second phase. The first phase reduces complexity in the computation of the problem, and helps set up sustainable development in the supply chain. In the second phase, to cope with the uncertainties in the bioenergy supply network, a robust model is introduced. It reduces the sensitivity to inaccurate input data, and the obtained solutions stay optimal when the parameters change slightly. In order to validate this two-phase sequential approach, a case study is investigated. The results of tests show that integrating the concepts of uncertainties and sustainability with geographical information of the area in a two-phase sequential approach outperforms the traditional models, and leads to the creation of 262 jobs. The jobs have a high impact on the surrounding area.",10.1016/j.compchemeng.2020.107131,Computers and Chemical Engineering,Bioenergy supply chains | Biomass | Decision aid | Geographical information | Optimization | Social sustainability | Sustainable development | Uncertainty,85096619441,A two-phase sequential approach to design bioenergy supply chains under uncertainty and social concerns,2021.0
20,"© 2020 Elsevier Ltd Inevitable disruptions and undesired environmental effects perturb food supply chains and meat supply chains. Academics and practitioners need to simultaneously incorporate resilience and greenness perspectives in planning approaches since this context has not been investigated in the existing literature. At the tactical level, it requires advanced modelling and solution approaches. In this research, a novel bi-objective stochastic model is developed to cover specific characteristics of meat inventory planning in a three-echelon network. Two resiliency strategies are embedded in the model to hedge against the disruptions. Disruptions behavior in the food context is characterized to illustrate real-world situations as stochastic processes using the Monte-Carlo method. To solve the model, sample average approximation and Lexicographic Weighted Tchebycheff methods are derived. Numerous problem instances are conducted to validate the applicability of the proposed model and solution approach. The results reiterate that resilient solutions could retain the network performance and even increase it by 6%. It is also concluded that solutions are sensitive to the throughput capacity and lead-time by 13% and 41%, respectively. Moreover, trade-off interactions between the two objectives are perceived to provide managerial insights.",10.1016/j.cie.2020.107018,Computers and Industrial Engineering,Green | Inventory management | Meat supply chain | Resilience | Stochastic programming,85098698469,A resilient-green model for multi-echelon meat supply chain planning,2021.0
21,"© 2020, Springer-Verlag London Ltd., part of Springer Nature. More and more enterprises hope to achieve cooperation and win–win. However, many companies often have problems such as insufficient partner credit, which seriously affects the quality of cooperation. In order to effectively evaluate the credit, this paper constructs a personal credit evaluation model. The model compares the weight adjustment method with BP neural network and other methods. Compared with the BP neural network weight adjustment algorithm, the improved algorithm has obvious advantages in accuracy and convergence speed. The simulation results show that the green supply chain cooperation credit evaluation model can better evaluate the environmental behavior of enterprises. The BP neural network can better solve the problem of slow convergence and premature convergence, and can search data more accurately. The algorithm has good robustness. The evaluation model has high optimization accuracy, which shows that BP neural network can better learn and evaluate the credit of green supply chain at different levels.",10.1007/s00521-020-05420-6,Neural Computing and Applications,BP neural network | Cooperation credit | Green supply chain | Weight adjustment,85094176310,Evaluation model of green supply chain cooperation credit based on BP neural network,2021.0
22,"© 2020 Elsevier Ltd The devastating impact of the ripple effect increases the importance of the reverse supply chain (RSC) design to ensure sustainability in the long-term. That being the case, in this study, a two-stage stochastic mixed-integer optimization model is proposed to design an RSC network under uncertainty sourcing from the ripple effect (i.e. external side of RSC) by considering the environmental and economic dimensions of sustainability. The environmental and economic disruptions of the ripple effect are represented by the increase in the carbon emission levels and the distance of roads, and the decrease in the capacity of facilities, respectively. Accordingly, a set of scenarios is considered based on the disruption levels (low- and high-impact) in case of the ripple effect. Furthermore, an α-reliability constraint is integrated into the model to further analyze the occurrence of scenarios. The model allows us to make integrated operational and strategic decisions by placing an emphasis on the carbon emission levels (i.e. environmental dimension) and the total cost (i.e. economic dimension). To obtain some remarkable insights, the proposed model is validated through computational experiments based on data extracted from a real case. The computational results show that the ripple effect increases the emission level and total cost up to 40%. For this reason, it suggested that the regulations regarding WEEE (Waste Electrical and Electronic Equipment) should be prepared by considering sustainability in the entire RSC network. Besides, it is realized that the centralized distribution strategy leads to a more resilient RSC network design.",10.1016/j.jclepro.2020.124548,Journal of Cleaner Production,Reverse supply chain (RSC) | Ripple effect | Two-stage stochastic optimization,85095741569,Ensuring sustainability in the reverse supply chain in case of the ripple effect: A two-stage stochastic optimization model,2021.0
23,"© 2020 Lifelines and infrastructure systems are among the most critical operational components of an urban environment to ensure a minimum level of post-earthquake economic and societal functionality following major seismic events. The overall performance of lifeline systems after the September 19, 2017 Mw 7.1 Central Mexico earthquake was generally positive. The most extensive impact was observed on the fresh water supply network within Mexico City (CDMX), which resulted in the temporary loss of water supply for nearly six million people, yet expedited repair work and temporary solutions limited severe interruption of daily operations and helped mitigate human suffering. The road, railroad and bridge networks were reported to have experienced very limited damage. Less than a dozen bridges indicated some level of damage in the areas affected by the earthquake. Only few selected rail stations within the public transportation system of Mexico City (metro) were temporarily closed for up to one month due to structural damage. The electricity network was reestablished to its full capacity within four days. Several case studies in the regions ranging from Mexico City to the earthquake epicenter (Puebla) are presented in this paper to provide an overview of engineering success stories as well as opportunities alike.",10.1016/j.soildyn.2020.106430,Soil Dynamics and Earthquake Engineering,Airports | Bridges | Infrastructure | Pipelines | Reconnaissance | Utility services,85096027636,"The September 19, 2017 MW 7.1 CENTRAL-Mexico earthquake: Immediate observations on selected infrastructure systems",2021.0
