abstract,title,keywords,journal,scopus_id,year,first selection,,,,,
"CCBY The intake of the perishable fruits and vegetables (FVs) in the human diet can contribute to reduce the risk of some chronic diseases. But unfortunately, FVs loss rate is high among all the food produced annually and occurs at storage stage of post-harvest life cycle. One of the key factors contributing to this high loss rate is inability to gauge vital ambient environmental parameters in cold storage. The existing monitoring solutions about cold storage are limited to only gauge temperature, relative humidity and ignore other vital ambient environmental parameters such as luminosity and concentration of gases. This is a critical issue that needs to be addressed to overcome the loss rate of FVs. This paper presents a real-time intelligent monitoring and notification system (RT-IMNS) banked on an Internet of Things (IoT)-enabled approach for real-time monitoring of temperature, relative humidity, luminosity and concentration of gas in cold storage and notifies the personnel on exceeding of dangerous limits of these parameters. Moreover, decision support is implemented in the RT-IMNS using Artificial Neural Network (ANN) with forward propagation to classify the status of commodity into one of three classes i.e. good, unsatisfactory or alarming. The proposed prediction model outperforms Compress Sending (CS), Adaptive Na&#x00EF;ve Bayes (ANB), Extreme Gradient Boosting (XGBoost) and Data Mining (DM) with respect to forecasting accuracy. We achieved 99% accuracy using forward propagation neural network model while existing models such as CS, ANB, XGBoost, DM achieved 95.60%, 87.50%, 93.59%, 90% accuracy respectively. Moreover, proposed approach achieved 100% precision, 100% recall, 100% F1-score for good class is achieved, for unsatisfactory class precision is 98%, recall is 99%, F1-score is 98% and for alarming class precision is 100%, recall is 98% and F1-score is 99%.",An IoT-based Real-time Intelligent Monitoring and Notification System of Cold Storage,ANN *** cold storage *** FVs *** Humidity *** IoT *** Monitoring *** Personnel *** Real-time systems *** Supply chains *** Temperature measurement *** Temperature sensors,ieee access,85100827557,2021,0,,,,,
"© 2021, Universitat Politecnica de Catalunya. All rights reserved. Purpose: Managing the inventory of spare parts is very difficult because of the stochastic nature of part’s demand. Also, only controlling the inventory of the spare part is not enough; instead, the supply chain of the spare part needs to be managed efficiently. Moreover, every organization now aims to have a resilient and sustainable supply chain to overcome the risk of facility disruption and to ensure environmental sustainability. This paper thus aims to establish a model of inventory-location relating to the resilient supply chain network of spare parts. Design/methodology/approach: First, applying queuing theory, a location-inventory model for a spare parts supply chain facing a facility disruption risk and has a restriction for CO2 emission, is developed. The model is later formulated as a non-linear mixed-integer programming problem and is solved using MATLAB. Findings: The model gives optimal decisions about the location of the warehouse facility and the policy of inventory management of each location selected. The sensitivity analysis shows that the very low probability of facility disruption does not influence controlling the average emission level. However, the average emission level certainly decreases with the increment of the disruption probability when the facility disruption probability is significant. Practical implications: Using this model, based on the cost and emission parameters and the likelihood of facility disruption, the spare part’s manufacturer can optimize the total average cost of the spare part’s supply chain through making a trade-off between productions, warehouse selection, inventory warehousing and demand allocation. Originality/value: Previous research focuses only on developing a framework for designing an efficient spare parts planning and control system. The inventory-location model for spare parts is not addressed in the sense of risk of facilities disturbance and emission. This research first time jointly considered the probabilistic facility disruption risk and carbon emission for modeling the spare part’s supply chain network.",An integrated location-inventory model for a spare part’s supply chain considering facility disruption risk and co<inf>2</inf> emission,CO  emission 2 *** Facility disruption probability *** Location-inventory problem *** Queuing theory *** Spare part’s supply chain network,journal of industrial engineering and management,85101160639,2021,1,,,,,
"© 2013 IEEE. If the product supply shortage during the sales period, customers will turn to other company, so the enterprise will shortage the sales opportunity. The enterprise can predict product demands, and manages the product sales. To use the supply chain management prediction system to improve the bottleneck of the inventory; thus, the hot sales product has more critical time utilization and the inventory status reflected quickly in Internet of Things (IoT). Because replenishment model cannot show the actual quantity of products on the store shelves. Therefore, this article proposed the intelligent agent-based predict system, that agent-based serves as framework to construct an integrated predict system, use radio frequency identification (RFID) technology to design the intelligent product predict shelf to extract products message, and the service oriented architecture to develop an predict information to provide the product as recommend customer services. The result of the paper, to propose an agent-based cloud computing service platform in IoT, and intelligent agents with SOA as backend cloud services. To build a prototype predict system with performance analysis. The results proved that the predict system architecture for intelligent agent-based predict system could increase operation performance and enhance effectively for customer service quality for hot sale products.",Intelligent Agent-Based Predict System with Cloud Computing for Enterprise Service Platform in IoT Environment,cloud computing *** enterprise service platform *** intelligent agent-based *** Internet of Things (IoT) *** predict system,ieee access,85099198065,2021,0,,,,,
"© 2021 Taylor  &  Francis. Halal food supply chains (HFSCs) are increasingly characterized by fragmentation, complexity, and uncertainty. Halal food consumers are becoming more demanding for food quality and compliance with Islamic dietary law. As sustainability is a multidimensional concept that entails several aspects and interpretations, the objectives of HFSCs significantly overlap with the sustainable dimensions of the food ecosystem. The purpose of this study is to examine the inherent sustainable aspects and characteristics of HFSCs. Therefore, a systematic literature review and a bibliometric analysis were conducted to redress the lack of academic attention being given to the relationships of HFSCs with sustainability. Selected 74 papers were coded and analyzed according to the dimensions of sustainability, namely, the economic, social, and environmental dimensions. The review primarily attempts to provide answers to the following research question: What are the sustainable aspects of HFSCs? We provide a comprehensive analysis of the three critical components of sustainability, offering a broad and comprehensive picture of many critical issues in HFSCs. Finally, the contribution of the study, the scope of future research, and the limitations are highlighted in detail.",Are Halal Food Supply Chains Sustainable: A Review And Bibliometric Analysis,economic *** Halal Food Supply Chains *** social *** sustainability,journal of foodservice business research,85100584773,2021,1,,,,,
"© 2021, Springer-Verlag GmbH Germany, part of Springer Nature. Epidemic outbreak (COVID-19, SARS-CoV-2) is an exceptional scenario of agri-food supply chain (AFSC) risk at the globalised level which is characterised by logistics’ network breakdown (ripple effects), demand mismatch (uncertainty), and sustainable issues. Thus, the aim of this research is the modelling of the sustainable based multi-tier system for AFSC, which is managed through the different emerging application of Internet of things (IoT) technology. Different IoT technologies, viz., Blockchain, robotics, Big data analysis, and cloud computing, have developed a competitive AFSC at the global level. Competitive AFSC needs cautious incorporation of multi-tiers suppliers, specifically during dealing with globalised sustainability issues. Firms have been advancing towards their multi suppliers for driving social, environments and economical practices. This paper also studies the interrelationship of 14 enablers and their cause and effect magnitude as contributing to IoT-based food secure model. The methodology used in the paper is interpretative structural modelling (ISM) for establishing interrelationship among the enablers and Fuzzy-Decision-Making Trial and Evaluation Laboratory (F-DEMATEL) to provide the magnitude of the cause-effect strength of the hierarchical framework. This paper also provides some theoretical contribution supported by information processing theory (IPT) and dynamic capability theory (DCT). This paper may guide the organisation’s managers in their strategic planning based on enabler’s classification into cause and effect groups. This paper may also encourage the mangers for implementing IoT technologies in AFSC.",Modelling Internet of things (IoT)-driven global sustainability in multi-tier agri-food supply chain under natural epidemic outbreaks,Agri-food supply chain (AFSC) *** COVID-19 *** Food security *** Global sustainability *** Internet of things (IoT) *** Multi-tier *** Supply chain disruption,environmental science and pollution research,85098684129,2021,1,,,,,
"© 2020 by the authors. In competitive global markets, sustainable suppliers are critical success factors for sustainable supply chain operations. Sustainable supplier selection must be based on a complex network of numerous indicators and experts’ fuzzy linguistic terms. Considering the correlation between the evaluation criteria and the ambiguity of the criteria values, this paper proposes combining the rough DEMATEL method and the fuzzy VIKOR (FVIKOR) method to solve sustainable supplier selection problem. We determine 15 sustainable supplier evaluation criteria from economic, environmental and social dimensions. We also apply the rough DEMATEL method to determine the weight of evaluation indicators that are interrelated or even conflicting and use the FVIKOR method to determine supplier rankings by converting the fuzzy linguistic terms into precise information. The prac-ticability of the proposed method is verified by an example of sustainable supplier selection.",Research on sustainable supplier selection based on the rough dematel and fvikor methods,Fuzzy VIKOR method *** Multi‐criteria evaluation *** Rough DEMATEL method *** Sustainable supplier selection,sustainability (switzerland),85098617312,2021,1,,,,,
"© 2021 by the authors. Licensee MDPI, Basel, Switzerland. An inventory management problem is addressed for a make-to-order supply chain that has inventory holding and/or manufacturing locations at each node. The lead times between nodes and production capacity limits are heterogeneous across the network. This study focuses on a single product, a multi-period centralized system in which a retailer is subject to an uncertain stationary consumer demand at each time period. Two sales scenarios are considered for any unfulfilled demand: backlogging or lost sales. The daily inventory replenishment requests from immediate suppliers throughout the network are modeled and optimized using three different approaches: (1) deterministic linear programming, (2) multi-stage stochastic linear programming, and (3) reinforcement learning. The performance of the three methods is compared and contrasted in terms of profit (reward), service level, and inventory profiles throughout the supply chain. The proposed optimization strategies are tested in a stochastic simulation environment that was built upon the open-source OR-Gym Python package. The results indicate that, of the three approaches, stochastic modeling yields the largest increase in profit, whereas reinforcement learning creates more balanced inventory policies that would potentially respond well to network disruptions. Furthermore, deterministic models perform well in determining dynamic reorder policies that are comparable to reinforcement learning in terms of their profitability.",Algorithmic approaches to inventory management optimization,Inventory management *** Multi-echelon *** Reinforcement learning *** Stochastic programming *** Supply chain,processes,85099846631,2021,0,,,,,
"IEEE This short paper argues that technical leaders in a post Covid-19 world should adopt stakeholder-oriented management techniques tailored to complex, chaotic and disordered domains. In part this is because the unprecedented breadth of the novel coronavirus&#x0027;s impact has required organizations to strengthen their stakeholder orientation, given the second-order, network effects of management decisions during a global pandemic on unseen, unknown constituencies. In part this is because even our causal models and modes of group sense-making have been affected by the suffering and uncertainty caused by the pandemic. This paper draws from ongoing research on complex stakeholder networks, applying recent advances in graph theory to establish that organizations with more resilient, more efficient, more globally connected stakeholder networks better satisfy the claims of their stakeholders, across an array of financial and environmental, social and governance metrics. This research can be extended into post-crisis, chaotic and disordered domains by adapting the Cynefin framework, from the Welsh word for habitat, and applying it to the stakeholder theory literature. This stakeholder network perspective yields surprisingly simple and relevant tools for managers, as shown by a case study of the real-world performance of large US firms during the period of Covid-19&#x0027;s initial diffusion and impact.",Managing in a post Covid-19 world: a stakeholder network perspective,assortativity *** clustering *** Complexity theory *** Covid-19 *** COVID-19 *** Cynefin *** network resilience *** Organizations *** Pandemics *** social networks *** Stakeholders *** Stakeholders *** supply networks *** Taxonomy *** Tools,ieee engineering management review,85100856979,2021,0,,,,,
"© 2020 The objective of this study was to understand the impacts of COVID-19 crisis in agriculture and food systems in Nepal and assess the effectiveness of measures to deal with this crisis. The study draws policy implications, especially for farming systems resilience and the achievement of SDGs 1 and 2. The findings are based on (i) three panel discussions over six months with policy makers and experts working at grassroots to understand and manage the crisis, (ii) key informants' interviews, and (iii) an extensive literature review. Results revealed that the lockdown and transport restrictions have had severe consequences, raising questions on the achievement of SDGs 1 and 2, especially in the already vulnerable regions dependent on food-aid. This crisis has also exposed the strengths and limitations of both subsistence and commercial farming systems in terms of resiliency, offering important lessons for policy makers. Traditional subsistence farming appears to be somewhat resilient, with a potential to contribute to key pillars of food security, especially access and stability, though with limited contributions to food availability because of low productivity. On the other hand, commercial farming - limited to the periphery of market centres, cities, and emerging towns and in the accessible areas - was more impacted due to the lack of resilient supply networks to reach even the local market. Lower resiliency of commercial farming was also evident because of its growing dependence on inputs (mainly seeds and fertilizer) on distant markets located in foreign countries. The observation of crisis over eight months unleashed by the pandemic clearly revealed that wage labourers, indigenous people, and women from marginalized groups and regions already vulnerable in food security and malnutrition suffered more due to COVID-19 as they lost both external support and the coping mechanisms. The findings have implications for policies to improve both subsistence and commercial farming systems – in particular the former by improving the productivity through quality inputs and by diversifying, promoting and protecting the indigenous food system, while the latter through sustainable intensification by building reliant supply network linking farming with markets and guarantying the supply of inputs.",COVID-19 impacts on agriculture and food systems in Nepal: Implications for SDGs,COVID-19 pandemic *** Food security *** Food sovereignty *** Subsistence farming *** Sustainable development goals *** System resilience,agricultural systems,85095951110,2021,1,0,,,,
"© 2021, Editorial Department of CIMS. All right reserved. Focusing on tree-shaped supply chain system consisting of plants, distribution centers and retailers, an appropriate network structrue design approach was developed. By considering demand uncertainty of the retailers and interruption risks of the plants and distribution centers, a supply chain location-inventory decision model with the goal of minimizing expected total cost of the system was established. The model could be used to determine the locations, number and storage capacities of the distribution centers, as well as the replenishment / delivery assignment level of each plant / distribution center to each distribution center / retailer. To rapidly solve the proposed model, a hybrid genetic algorithm with a specific cost analysis method embedded in the genetic algorithm framework was designed, and the operation ideas and implementation steps of the algorithm were given. In addition, the experiments were constructed to verify the effectiveness of the model and its algorithm, and the deduction was obtained simultaneously that under uncertain demand environment, the decision result by considering multi-echelon facility interruptions was better than those without considering facility interruptions or considering only single-echelon facility interruptions.",Supply chain location-inventory decision model and its optimization algorithm with multi-echelon facility disruptions,Hybrid genetic algorithm *** Location-inventory model *** Multi-echelon facility disruption *** Supply chain network optimization *** Uncertain demand,"jisuanji jicheng zhizao xitong/computer integrated manufacturing systems, cims",85101019638,2021,1,,,,,
"In planning for a large-scale disaster, potential relief centers to accommodate evacuees need to be identified. The quantities of emergency commodities are prepared and stocked at relief centers in advance for possible disasters. In the event of a disaster, due to the different disaster severities and uncertain environment, some relief centers inevitably have surplus commodities, whereas some relief centers are still unmet. To use any surplus commodities effectively, a multi-commodity rebalancing process is necessary to rebalance the commodities among relief centers. However, various uncertainties make the multi-commodity rebalancing process extremely challenging, including uncertain demand and transportation-network availability. By recognizing those practical uncertainties, a bi-level stochastic mixed-integer nonlinear programming model is proposed to formulate this multi-commodity rebalancing problem. The upper-level objective is to minimize the total dissatisfaction level, which is measured by the expected total weighted unsatisfied demand, and the lower-level objective is to minimize the expected total transportation time. Finally, a case study on the Great Sichuan Earthquake in China is implemented; their results show that the proposed model facilitates effective decision-making in the practice of multi-commodity rebalancing.",A bi-level stochastic optimization model for multi-commodity rebalancing under uncertainty in disaster response,Humanitarian logistics *** Multi-commodity rebalancing *** Bi-level stochastic programming *** Uncertainty,annals of operations research,WOS:000574636800001,2021,0,,,,,
"This paper aims to develop a scenario-based optimization framework to deals with several issues related to redesign sustainable reverse supply chain; focused particularly in the epistemic uncertainty of supply and demand input parameters and their relationship with supply chain performance, both important for the redesign problem. The two-step optimization framework starts with a Fuzzy Inference System methodology for scenario generation that faces the lack of information, and the necessity of estimate the expected operation cost and environmental impact. Then we use generated scenarios into the epsilon-constraint method which solves a multi-objective model to obtain a relevant set of solutions. After solving the second optimization model, we propose to analyze the robustness of the achieved redesign solutions considering a customer satisfaction approach. The computational experiments show that our proposed framework supports better the inclusion of scenarios for redesigning the plastic recycling supply chain. Furthermore, we study a real-life plastic recycling problem in Cuba which demonstrates that the framework is able to support the redesign decision making with robust solutions sensitive to the changes of the studied uncertain parameters.",A fuzzy inference based scenario building in two-stage optimization framework for sustainable recycling supply chain redesign,Fuzzy inference system *** Reverse supply chain design *** Plastic recycling *** Scenario generation,expert systems with applications,WOS:000602356300007,2021,0,,,,,
